DATE,PRCP,16,9.24,0.298064516,,,,,,,,
1/1/2021,0.06,1,,,3.570967742,,,,,,,
1/2/2021,0.39,2,,,-1.287096774,,,,,,,
1/3/2021,1.54,3,,,-16.14516129,,,,,,,
1/4/2021,0.87,4,,,-0.04766129,,,,,,,
1/5/2021,0.17,5,,,1.408709677,,,,,,,
1/6/2021,0.4,6,,,-1.019354839,,,,,,,
1/7/2021,0.19,7,,,0.972580645,,,,,,,
1/8/2021,0.43,8,,,-1.055483871,,,,,,,
1/9/2021,0,9,,,2.086451613,,,,,,,
1/10/2021,0.18,10,,,0.708387097,,,,,,,
1/11/2021,0.05,11,,,1.240322581,,,,,,,
1/12/2021,1.95,12,,,-6.607741935,,,,,,,
1/13/2021,1.35,13,,,-3.155806452,,,,,,,
1/14/2021,0,14,,,0.596129032,,,,,,,
1/15/2021,0.05,15,,,0.248064516,,,,,,,
1/16/2021,0,16,,,0,,,,,,,
1/17/2021,0.04,17,,,-0.258064516,,,,,,,
1/18/2021,0,18,,,-0.596129032,,,,,,,
1/19/2021,0,19,,,-0.894193548,,,,,,,
1/20/2021,0,20,,,-1.192258065,,,,,,,
1/21/2021,0.16,21,,,-0.690322581,,,,,,,
1/22/2021,0,22,,,-1.788387097,,,,,,,
1/23/2021,0,23,,,-2.086451613,,,,,,,
1/24/2021,0.12,24,,,-1.424516129,,,,,,,
1/25/2021,0.31,25,,,0.107419355,,,,,,,
1/26/2021,0.03,26,,,-2.680645161,,,,,,,
1/27/2021,0.33,27,,,0.351290323,,,,,,,
1/28/2021,0.17,28,,,-1.536774194,,,,,,,
1/29/2021,0,29,,,-3.87483871,,,,,,,
1/30/2021,0.17,30,,,-1.792903226,,,Var-X,B1,B0,,
1/31/2021,0.28,31,,,-0.270967742,,-37.11443548,2480,-0.014965498,0.537512487,,
2/1/2021,0.6,,,,,covariance,-1.237147849,,,,covaraince,-1.417096774
2/2/2021,0.43,,,,,,,,,,,
2/3/2021,0.77,,,,,,,,,,,
2/4/2021,0,,,,,,,,,,,
2/5/2021,0.02,,,,,,,,,,,
2/6/2021,0,,,,,,,,,,,
2/7/2021,0.02,,,,,,,,,,,
2/8/2021,0.07,,,,,,,,,,,
2/9/2021,0,,,,,,,,,,,
2/10/2021,0,,,,,,,,,,,
2/11/2021,0,,,,,,,,,,,
2/12/2021,0.11,,,,,,,,,,,
2/13/2021,0.6,,,,,,,,,,,
2/14/2021,0.35,,,,,,,,,,,
2/15/2021,0.72,,,,,,,,,,,
2/16/2021,0.17,,,,,,,,,,,
2/17/2021,0,,,,,,,,,,,
2/18/2021,0.05,,,,,,,,,,,
2/19/2021,0.38,,,,,,,,,,,
2/20/2021,0.07,,,,,,,,,,,
2/21/2021,0.07,,,,,,,,,,,
2/22/2021,0.06,,,,,,,,,,,
2/23/2021,0.23,,,,,,,,,,,
2/24/2021,0.05,,,,,,,,,,,
2/25/2021,0.06,,,,,,,,,,,
2/26/2021,0.41,,,,,,,,,,,
2/27/2021,0.1,,,,,,,,,,,
2/28/2021,0,,,,,,,,,,,
3/1/2021,0,,,,,,,,,,,
3/2/2021,0,,,,,,,,,,,
3/3/2021,0,,,,,,,,,,,
3/4/2021,0,,,,,,,,,,,
3/5/2021,0,,,,,,,,,,,
3/6/2021,0,,,,,,,,,,,
3/7/2021,0,,,,,,,,,,,
3/8/2021,0,,,,,,,,,,,
3/9/2021,0,,,,,,,,,,,
